id,nom,id_parent
1,"Histoire et Patrimoine",NULL
10,"Histoire Régionale et Locale",1
100,"Guerre et Conflits",10
1000,"Génocides",100
10000,"Palestinien",1000
10001,"Congolais",1000
10002,"Armenien",1000
1001,"Guerres Mondiales",100
10010,"Première Guerre Mondiale",1001
10011,"Seconde Guerre Mondiale",1001
1002,"Guerres Civiles",100
10020,"Sécession",1002
10021,"Espagnol",1002
10022,"Syrie",1002
1003,"Révolutions,100
10030,"Américaine",1003
10031,"Française",1003
1004,"Guerre Froide",100
1005,"Guerres religieuses",100
10050,"Croisades",1005
10051,"Conflit au Moyen-Orient",1005
101,"Colonisation et Décolonisation",10
1010,"Antique",101
1011,"Médiévale",101
1012,"Européenne moderne",101
102,"Histoire des Pays",10
1020,"Europe",102
1021,"Asie",102
1022,"Afrique",102
1023,"Amérique",102
1024,"Océanie",102
11,"Patrimoine Bâti",1
110,"Monuments Historiques",11
1100,"Monuments Civils",110
11000,"Palais",1100
11001,"Bâtiments Administratifs",1100
11002,"Universités et Grandes Ecoles",1100
11003,"Symbole nationaux",1100
1101,"Monuments Commémoratifs",110
11010,"Arc de Triomphe",1101
11011,"Stèles et plaques",1101
11012,"Colonnes Commémoratives",1101
11013,"Statues et Monuments aux morts",1101
1102,"Monuments Militaires",110
11020,"Châteaux fort",1102
11021,"Forteresses",1102
11022,"Rempart et Murailles",1102
11023,"Bunkers et blockhaus",1102
111,"Culte Religieux",11
1110,"Islam",111
1111,"Polythéisme",111
1112,"Christianisme",111
1113,"Judaisme",111
12,"Personnages Historiques",1
120,"Dirigeants Politique",12
121,"Artistes et écrivains",12
122,"Chefs Militaires",12
123,"Philosophes",12
13,"Périodes Historique",1
130,"Préhistoire",13
131,"Antiquité",13
132,"Renaissance",13
133,"Moyen-âge",13
134,"Epoque Moderne",13
135,"Epoque Contemporaine",13
2,"Sciences",NULL
20,"Sciences Fondamentales",2
200,"Mathématique",20
2000,"Algèbre",200
2001,"Géométrie",200
2002,"Analyse",200
2003,"Probabilité et Statistiques",200
201,"Physique",20
2010,"Mécanique",201
2011,"Thérmodynamique",201
2012,"Electromagnétisme",201
2013,"Quantique",201
2014,"Astrophysique",201
202,"Chimie",20
2020,"Générale",202
2021,"Organique",202
2022,"Industrielle",202
2023,"Analystique",202
203,"Biologie",20
2030,"Génétique",203
2031,"Ecologie",203
2032,"Zoologie",203
2033,"Botanique",203
204,"Astronomie",20
2040,"Cosmologie",204
2041,"Planétologie",204
21,"Sciences Appliqués",2
210,"Ingénierie",21
2100,"Génie Eléctrique",210
2101,"Génie Mécanique",210
2102,"Robotique",210
211,"Médecine",21
2110,"Anatomie",211
2111,"Neurologie",211
2112,"Cardiologie",211
212,"Informatique",21
2120,"IA",212
2121,"Cybersécurité",212
2122,"Développement Logiciel",212
2123,"Science des Données",212
2124,"Réseaux et systèmes",212
22,"Sciences de l'Environnement",2
23,"Sciences Humaines et Sociales",2
230,"Economie",23
231,"Anthropologie",23
232,"Psychologie",23
233,"Sociologie",23
24,"Sciences de la Terre et de l'Univers",2
240,"Géologie",24
241,"Climatologie",24
242,"Géographie",24
25,"Grandes Découvertes et Inventions",2
250,"Grands Scientifiques et Inventeurs",25
251,"Révolutions Scientifiques",25
3,"Technologie",NULL
30,"Robotique",3
300,"Industriel",30
301,"Humanoïde",30
31,"Biotechnologie",3
310,"Médicale",31
311,"Génétique",31
312,"Synthétique",31
32,"Informatique",3
320,"IA",32
321,"Cybersécurité",32
322,"Programmation et Développement",32
323,"Base de données",32
324,"Quantique",32
33,"Transport et Mobilité",3
330,"Aérien et spatial",33
331,"Terrestre",33
3310,"Transport en commun",331
3311,"Voiture",331
3312,"Vélo",331
332,"Maritime",33
34,"Energie et Environnement",3
340,"Renouvelable",34
341,"Climat",34
342,"Fossile",34
4,"Nature",NULL
